timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.375,0,79,0.140625,0.347656
1,2,0.421875,0,275,0.158203,0.390625
1,3,0.46875,0,307,0.175781,0.435547
1,4,0.515625,0,122,0.193359,0.478516
1,5,0.5625,0,22,0.228516,0.513672
1,6,0.375,-0.250007,78,0.152344,0.341797
1,7,0.421875,-0.250007,275,0.171875,0.384766
1,8,0.46875,-0.250007,308,0.191406,0.427734
1,9,0.515625,-0.250007,126,0.208984,0.470703
1,10,0.375,-0.125003,147,0.140625,0.347656
1,11,0.421875,-0.125003,513,0.158203,0.390625
1,12,0.46875,-0.125003,575,0.175781,0.435547
1,13,0.515625,-0.125003,231,0.193359,0.478516
1,14,0.5625,-0.125003,42,0.228516,0.513672
2,1,0.375,0,81,0.140625,0.347656
2,2,0.421875,0,247,0.158203,0.390625
2,3,0.46875,0,259,0.175781,0.435547
2,4,0.515625,0,97,0.177734,0.484375
2,5,0.375,-0.37501,110,0.164062,0.337891
2,6,0.421875,-0.37501,341,0.185547,0.378906
2,7,0.46875,-0.37501,373,0.205078,0.421875
2,8,0.515625,-0.37501,152,0.226562,0.462891
2,9,0.5625,-0.37501,17,0.228516,0.513672
2,10,0.375,-0.250007,287,0.164062,0.337891
2,11,0.421875,-0.250007,872,0.185547,0.378906
2,12,0.46875,-0.250007,928,0.205078,0.421875
2,13,0.515625,-0.250007,360,0.208984,0.470703
2,14,0.5625,-0.250007,41,0.228516,0.513672
2,15,0.375,-0.125003,256,0.140625,0.347656
2,16,0.421875,-0.125003,777,0.158203,0.390625
2,17,0.46875,-0.125003,821,0.175781,0.435547
2,18,0.515625,-0.125003,311,0.193359,0.478516
2,19,0.5625,-0.125003,40,0.175781,0.535156
3,1,0.375,-0.625017,57,0.152344,0.341797
3,2,0.421875,-0.625017,129,0.158203,0.390625
3,3,0.46875,-0.625017,107,0.175781,0.435547
3,4,0.515625,-0.625017,32,0.208984,0.470703
3,5,0.328125,-0.500013,35,0.144531,0.294922
3,6,0.375,-0.500013,342,0.164062,0.337891
3,7,0.421875,-0.500013,758,0.171875,0.384766
3,8,0.46875,-0.500013,605,0.191406,0.427734
3,9,0.515625,-0.500013,154,0.193359,0.478516
3,10,0.328125,-0.37501,51,0.132812,0.300781
3,11,0.375,-0.37501,514,0.140625,0.347656
3,12,0.421875,-0.37501,1152,0.158203,0.390625
3,13,0.46875,-0.37501,917,0.175781,0.435547
3,14,0.515625,-0.37501,226,0.177734,0.484375
3,15,0.375,-0.250007,221,0.152344,0.341797
3,16,0.421875,-0.250007,497,0.171875,0.384766
3,17,0.46875,-0.250007,390,0.175781,0.435547
3,18,0.515625,-0.250007,88,0.193359,0.478516
4,1,0.328125,-0.875023,50,0.144531,0.294922
4,2,0.375,-0.875023,196,0.164062,0.337891
4,3,0.421875,-0.875023,262,0.185547,0.378906
4,4,0.46875,-0.875023,133,0.191406,0.427734
4,5,0.515625,-0.875023,18,0.208984,0.470703
4,6,0.328125,-0.75002,129,0.154297,0.289062
4,7,0.375,-0.75002,495,0.175781,0.332031
4,8,0.421875,-0.75002,659,0.185547,0.378906
4,9,0.46875,-0.75002,331,0.205078,0.421875
4,10,0.515625,-0.75002,41,0.226562,0.462891
4,11,0.328125,-0.625017,98,0.132812,0.300781
4,12,0.375,-0.625017,356,0.164062,0.337891
4,13,0.421875,-0.625017,449,0.185547,0.378906
4,14,0.46875,-0.625017,212,0.205078,0.421875
4,15,0.515625,-0.625017,46,0.128906,0.5
4,16,0.328125,-0.500013,40,0.113281,0.308594
4,17,0.375,-0.500013,124,0.128906,0.351562
4,18,0.421875,-0.500013,84,0.158203,0.390625
4,19,0.46875,-0.500013,57,0.117188,0.453125
4,20,0.515625,-0.500013,31,0.144531,0.494141
4,21,0.515625,-0.37501,22,0.080078,0.509766
4,22,0.5625,-0.37501,21,0.193359,0.527344
4,23,0.609375,-0.250007,27,0.152344,0.589844
4,24,0.609375,-0.125003,79,0.132812,0.59375
4,25,0.515625,-0.75002,33,0.048828,0.513672
4,26,0.5625,-0.37501,16,0.017578,0.5625
5,1,0.28125,0.875023,26,0.087891,0.267578
5,2,0.328125,0.875023,158,0.103516,0.3125
5,3,0.375,0.875023,272,0.117188,0.355469
5,4,0.421875,0.875023,173,0.132812,0.400391
5,5,0.46875,0.875023,30,0.146484,0.445312
5,6,0.28125,-1.000027,54,0.140625,0.244141
5,7,0.328125,-1.000027,302,0.154297,0.289062
5,8,0.375,-1.000027,495,0.164062,0.337891
5,9,0.421875,-1.000027,284,0.171875,0.384766
5,10,0.46875,-1.000027,37,0.146484,0.445312
5,11,0.28125,-0.875023,70,0.115234,0.257812
5,12,0.328125,-0.875023,487,0.123047,0.304688
5,13,0.375,-0.875023,898,0.140625,0.347656
5,14,0.421875,-0.875023,588,0.144531,0.396484
5,15,0.46875,-0.875023,104,0.146484,0.445312
5,16,0.28125,-0.75002,41,0.115234,0.257812
5,17,0.328125,-0.75002,388,0.123047,0.304688
5,18,0.375,-0.75002,872,0.128906,0.351562
5,19,0.421875,-0.75002,709,0.144531,0.396484
5,20,0.46875,-0.75002,183,0.146484,0.445312
5,21,0.328125,-0.625017,280,0.091797,0.314453
5,22,0.375,-0.625017,711,0.105469,0.359375
5,23,0.421875,-0.625017,629,0.119141,0.404297
5,24,0.46875,-0.625017,176,0.132812,0.449219
5,25,0.5625,-0.625017,54,0.158203,0.539062
5,26,0.609375,-0.625017,57,0.171875,0.583984
5,27,0.328125,-0.500013,82,0.091797,0.314453
5,28,0.375,-0.500013,208,0.105469,0.359375
5,29,0.421875,-0.500013,180,0.119141,0.404297
5,30,0.46875,-0.500013,48,0.132812,0.449219
5,31,0.515625,-0.500013,17,0.128906,0.5
5,32,0.5625,-0.500013,54,0.158203,0.539062
5,33,0.609375,-0.500013,61,0.171875,0.583984
5,34,0.5625,-0.37501,20,0.123047,0.548828
5,35,0.609375,-0.37501,19,0.152344,0.589844
5,36,0.609375,-0.250007,14,-0.171875,0.583984
6,1,0.28125,0.75002,70,0.080078,0.269531
6,2,0.328125,0.75002,168,0.091797,0.314453
6,3,0.375,0.75002,148,0.105469,0.359375
6,4,0.421875,0.75002,44,0.119141,0.404297
6,5,0.234375,0.875023,20,0.050781,0.228516
6,6,0.28125,0.875023,161,0.0625,0.275391
6,7,0.328125,0.875023,343,0.072266,0.320312
6,8,0.375,0.875023,270,0.082031,0.365234
6,9,0.421875,0.875023,65,0.080078,0.414062
6,10,0.234375,-1.000027,24,0.095703,0.214844
6,11,0.28125,-1.000027,228,0.105469,0.261719
6,12,0.328125,-1.000027,529,0.123047,0.304688
6,13,0.375,-1.000027,454,0.140625,0.347656
6,14,0.421875,-1.000027,127,0.144531,0.396484
6,15,0.28125,-0.875023,133,0.097656,0.263672
6,16,0.328125,-0.875023,352,0.113281,0.308594
6,17,0.375,-0.875023,341,0.128906,0.351562
6,18,0.421875,-0.875023,115,0.132812,0.400391
6,19,0.609375,-0.250007,21,-0.208984,0.572266
6,20,0.65625,-0.125003,109,-0.267578,0.599609
6,21,0.609375,-0.125003,43,-0.267578,0.548828
7,1,0.234375,0.875023,60,0.037109,0.232422
7,2,0.28125,0.875023,204,0.044922,0.277344
7,3,0.328125,0.875023,234,0.050781,0.324219
7,4,0.375,0.875023,96,0.058594,0.371094
7,5,0.234375,-1.000027,168,0.074219,0.222656
7,6,0.28125,-1.000027,550,0.097656,0.263672
7,7,0.328125,-1.000027,606,0.113281,0.308594
7,8,0.375,-1.000027,234,0.128906,0.351562
