FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
8,11,0.468750,-0.500013,1060.000000,-0.117188,0.453125
8,12,0.562500,-0.500013,110.000000,-0.123047,0.548828
8,13,0.562500,-0.250007,130.000000,-0.140625,0.544922
8,14,0.562500,-0.125003,150.000000,-0.140625,0.544922
9,1,0.421875,-0.750020,157.000000,-0.119141,0.404297
9,2,0.375000,-0.625017,1152.000000,-0.082031,0.365234
9,3,0.421875,-0.625017,1325.000000,-0.091797,0.412109
9,4,0.468750,-0.625017,587.000000,-0.103516,0.457031
9,5,0.375000,-0.500013,1751.000000,-0.070312,0.369141
9,6,0.421875,-0.500013,2002.000000,-0.080078,0.414062
9,7,0.468750,-0.500013,891.000000,-0.087891,0.460938
10,1,0.375000,-0.875023,252.000000,-0.093750,0.363281
10,2,0.421875,-0.875023,198.000000,-0.119141,0.404297
10,3,0.328125,-0.750020,1057.000000,-0.072266,0.320312
10,4,0.375000,-0.750020,2096.000000,-0.082031,0.365234
10,5,0.421875,-0.750020,1579.000000,-0.105469,0.408203
10,6,0.468750,-0.750020,415.000000,-0.117188,0.453125
10,7,0.328125,-0.625017,1944.000000,-0.082031,0.318359
10,8,0.375000,-0.625017,3631.000000,-0.093750,0.363281
10,9,0.421875,-0.625017,2681.000000,-0.119141,0.404297
10,10,0.468750,-0.625017,697.000000,-0.132812,0.449219
10,11,0.328125,-0.500013,1386.000000,-0.031250,0.326172
10,12,0.375000,-0.500013,2106.000000,-0.035156,0.373047
10,13,0.421875,-0.500013,1355.000000,-0.144531,0.396484
10,14,0.375000,-0.375010,905.000000,-0.046875,0.373047
11,1,0.375000,-0.875023,252.000000,-0.093750,0.363281
11,2,0.421875,-0.875023,198.000000,-0.119141,0.404297
11,3,0.328125,-0.750020,1057.000000,-0.072266,0.320312
11,4,0.375000,-0.750020,2096.000000,-0.082031,0.365234
11,5,0.421875,-0.750020,1579.000000,-0.105469,0.408203
11,6,0.468750,-0.750020,415.000000,-0.117188,0.453125
11,7,0.328125,-0.625017,1944.000000,-0.082031,0.318359
11,8,0.375000,-0.625017,3631.000000,-0.093750,0.363281
11,9,0.421875,-0.625017,2681.000000,-0.119141,0.404297
11,10,0.468750,-0.625017,697.000000,-0.132812,0.449219
11,11,0.328125,-0.500013,1386.000000,-0.031250,0.326172
11,12,0.375000,-0.500013,2106.000000,-0.035156,0.373047
11,13,0.421875,-0.500013,1355.000000,-0.144531,0.396484
11,14,0.375000,-0.375010,905.000000,-0.046875,0.373047
