timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.328125,0,112,0.123047,0.304688
1,2,0.375,0,409,0.140625,0.347656
1,3,0.421875,0,496,0.158203,0.390625
1,4,0.46875,0,236,0.175781,0.435547
1,5,0.515625,0,51,0.226562,0.462891
1,6,0.375,0.125003,73,0.152344,0.341797
1,7,0.421875,0.125003,108,0.171875,0.384766
1,8,0.375,-0.37501,51,0.164062,0.337891
1,9,0.421875,-0.37501,73,0.185547,0.378906
1,10,0.46875,-0.37501,38,0.205078,0.421875
1,11,0.328125,-0.250007,114,0.132812,0.300781
1,12,0.375,-0.250007,404,0.152344,0.341797
1,13,0.421875,-0.250007,473,0.158203,0.390625
1,14,0.46875,-0.250007,202,0.162109,0.439453
1,15,0.328125,-0.125003,209,0.123047,0.304688
1,16,0.375,-0.125003,751,0.140625,0.347656
1,17,0.421875,-0.125003,915,0.144531,0.396484
1,18,0.46875,-0.125003,437,0.162109,0.439453
1,19,0.515625,-0.125003,97,0.208984,0.470703
2,1,0.328125,0,282,0.144531,0.294922
2,2,0.375,0,1043,0.164062,0.337891
2,3,0.421875,0,1281,0.185547,0.378906
2,4,0.46875,0,579,0.205078,0.421875
2,5,0.515625,0,60,0.208984,0.470703
2,6,0.375,0.125003,139,0.152344,0.341797
2,7,0.421875,0.125003,184,0.171875,0.384766
2,8,0.328125,-0.37501,31,0.144531,0.294922
2,9,0.375,-0.37501,123,0.164062,0.337891
2,10,0.421875,-0.37501,151,0.185547,0.378906
2,11,0.46875,-0.37501,66,0.191406,0.427734
2,12,0.328125,-0.250007,312,0.154297,0.289062
2,13,0.375,-0.250007,1148,0.175781,0.332031
2,14,0.421875,-0.250007,1387,0.185547,0.378906
2,15,0.46875,-0.250007,601,0.205078,0.421875
2,16,0.515625,-0.250007,53,0.208984,0.470703
2,17,0.328125,-0.125003,536,0.144531,0.294922
2,18,0.375,-0.125003,1982,0.152344,0.341797
2,19,0.421875,-0.125003,2441,0.171875,0.384766
2,20,0.46875,-0.125003,1106,0.191406,0.427734
2,21,0.515625,-0.125003,113,0.208984,0.470703
3,1,0.328125,0,282,0.144531,0.294922
3,2,0.375,0,1043,0.164062,0.337891
3,3,0.421875,0,1281,0.185547,0.378906
3,4,0.46875,0,579,0.205078,0.421875
3,5,0.515625,0,60,0.208984,0.470703
3,6,0.375,0.125003,139,0.152344,0.341797
3,7,0.421875,0.125003,184,0.171875,0.384766
3,8,0.328125,-0.37501,31,0.144531,0.294922
3,9,0.375,-0.37501,123,0.164062,0.337891
3,10,0.421875,-0.37501,151,0.185547,0.378906
3,11,0.46875,-0.37501,66,0.191406,0.427734
3,12,0.328125,-0.250007,312,0.154297,0.289062
3,13,0.375,-0.250007,1148,0.175781,0.332031
3,14,0.421875,-0.250007,1387,0.185547,0.378906
3,15,0.46875,-0.250007,601,0.205078,0.421875
3,16,0.515625,-0.250007,53,0.208984,0.470703
3,17,0.328125,-0.125003,536,0.144531,0.294922
3,18,0.375,-0.125003,1982,0.152344,0.341797
3,19,0.421875,-0.125003,2441,0.171875,0.384766
3,20,0.46875,-0.125003,1106,0.191406,0.427734
3,21,0.515625,-0.125003,113,0.208984,0.470703
4,1,0.328125,0,171,0.132812,0.300781
4,2,0.375,0,633,0.152344,0.341797
4,3,0.421875,0,781,0.171875,0.384766
4,4,0.46875,0,355,0.191406,0.427734
4,5,0.421875,0.125003,166,0.171875,0.384766
4,6,0.375,-0.500013,36,0.175781,0.332031
4,7,0.421875,-0.500013,42,0.197266,0.373047
4,8,0.328125,-0.37501,291,0.144531,0.294922
4,9,0.375,-0.37501,972,0.164062,0.337891
4,10,0.421875,-0.37501,1094,0.185547,0.378906
4,11,0.46875,-0.37501,441,0.191406,0.427734
4,12,0.328125,-0.250007,716,0.144531,0.294922
4,13,0.375,-0.250007,2456,0.164062,0.337891
4,14,0.421875,-0.250007,2835,0.185547,0.378906
4,15,0.46875,-0.250007,1180,0.205078,0.421875
4,16,0.515625,-0.250007,98,0.208984,0.470703
4,17,0.328125,-0.125003,603,0.132812,0.300781
4,18,0.375,-0.125003,2114,0.152344,0.341797
4,19,0.421875,-0.125003,2496,0.171875,0.384766
4,20,0.46875,-0.125003,1073,0.191406,0.427734
4,21,0.515625,-0.125003,96,0.193359,0.478516
5,1,0.328125,-0.625017,131,0.154297,0.289062
5,2,0.375,-0.625017,289,0.175781,0.332031
5,3,0.421875,-0.625017,226,0.197266,0.373047
5,4,0.46875,-0.625017,53,0.220703,0.414062
5,5,0.28125,-0.500013,53,0.115234,0.257812
5,6,0.328125,-0.500013,614,0.144531,0.294922
5,7,0.375,-0.500013,1448,0.164062,0.337891
5,8,0.421875,-0.500013,1218,0.185547,0.378906
5,9,0.46875,-0.500013,330,0.191406,0.427734
5,10,0.28125,-0.37501,92,0.105469,0.261719
5,11,0.328125,-0.37501,1066,0.123047,0.304688
5,12,0.375,-0.37501,2534,0.140625,0.347656
5,13,0.421875,-0.37501,2163,0.158203,0.390625
5,14,0.46875,-0.37501,600,0.175781,0.435547
5,15,0.328125,-0.250007,578,0.123047,0.304688
5,16,0.375,-0.250007,1373,0.140625,0.347656
5,17,0.421875,-0.250007,1173,0.158203,0.390625
5,18,0.46875,-0.250007,321,0.175781,0.435547
6,1,0.28125,-0.875023,61,0.132812,0.248047
6,2,0.328125,-0.875023,255,0.144531,0.294922
6,3,0.375,-0.875023,333,0.164062,0.337891
6,4,0.421875,-0.875023,151,0.185547,0.378906
6,5,0.46875,-0.875023,14,0.191406,0.427734
6,6,0.28125,-0.75002,244,0.132812,0.248047
6,7,0.328125,-0.75002,1019,0.144531,0.294922
6,8,0.375,-0.75002,1335,0.164062,0.337891
6,9,0.421875,-0.75002,613,0.185547,0.378906
6,10,0.46875,-0.75002,59,0.191406,0.427734
6,11,0.28125,-0.625017,303,0.115234,0.257812
6,12,0.328125,-0.625017,1354,0.123047,0.304688
6,13,0.375,-0.625017,1842,0.140625,0.347656
6,14,0.421875,-0.625017,878,0.158203,0.390625
6,15,0.46875,-0.625017,85,0.162109,0.439453
6,16,0.28125,-0.500013,146,0.097656,0.263672
6,17,0.328125,-0.500013,733,0.113281,0.308594
6,18,0.375,-0.500013,1041,0.128906,0.351562
6,19,0.421875,-0.500013,509,0.144531,0.396484
6,20,0.46875,-0.500013,49,-0.015625,0.46875
6,21,0.28125,-0.37501,33,0.070312,0.271484
6,22,0.328125,-0.37501,171,0.091797,0.314453
6,23,0.375,-0.37501,250,0.105469,0.359375
6,24,0.421875,-0.37501,123,0.132812,0.400391
6,25,0.46875,-0.37501,24,0,0.46875
6,26,0.515625,-0.37501,16,0.162109,0.490234
6,27,0.46875,-0.500013,46,0.162109,0.439453
6,28,0.46875,-0.37501,19,0.175781,0.435547
6,29,0.515625,-0.37501,13,-0.322266,0.402344
7,1,0.234375,0.875023,46,0.074219,0.222656
7,2,0.28125,0.875023,342,0.087891,0.267578
7,3,0.328125,0.875023,656,0.103516,0.3125
7,4,0.375,0.875023,451,0.105469,0.359375
7,5,0.421875,0.875023,89,0.119141,0.404297
7,6,0.234375,-1.000027,82,0.109375,0.207031
7,7,0.28125,-1.000027,485,0.132812,0.248047
7,8,0.328125,-1.000027,879,0.154297,0.289062
7,9,0.375,-1.000027,601,0.164062,0.337891
7,10,0.421875,-1.000027,128,0.185547,0.378906
7,11,0.234375,-0.875023,77,0.095703,0.214844
7,12,0.28125,-0.875023,478,0.115234,0.257812
7,13,0.328125,-0.875023,874,0.123047,0.304688
