timestamp, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0,0,0,0,0
1,1,0.375,0,53,0.140625,0.347656
1,2,0.421875,0,122,0.171875,0.384766
1,3,0.46875,0,96,0.191406,0.427734
1,4,0.515625,0,44,0.242188,0.455078
1,5,0.421875,-0.250007,106,0.171875,0.384766
1,6,0.46875,-0.250007,84,0.205078,0.421875
1,7,0.421875,-0.125003,239,0.158203,0.390625
1,8,0.46875,-0.125003,185,0.191406,0.427734
1,9,0.515625,-0.125003,80,0.226562,0.462891
2,1,0.375,0,44,0.128906,0.351562
2,2,0.421875,0,130,0.144531,0.396484
2,3,0.46875,0,139,0.175781,0.435547
2,4,0.515625,0,54,0.177734,0.484375
2,5,0.375,-0.250007,54,0.128906,0.351562
2,6,0.421875,-0.250007,161,0.158203,0.390625
2,7,0.46875,-0.250007,181,0.175781,0.435547
2,8,0.515625,-0.250007,76,0.193359,0.478516
2,9,0.375,-0.125003,86,0.117188,0.355469
2,10,0.421875,-0.125003,251,0.144531,0.396484
2,11,0.46875,-0.125003,274,0.162109,0.439453
2,12,0.515625,-0.125003,109,0.177734,0.484375
3,1,0.421875,0,107,0.171875,0.384766
3,2,0.46875,0,89,0.191406,0.427734
3,3,0.375,-0.500013,56,0.175781,0.332031
3,4,0.421875,-0.500013,129,0.197266,0.373047
3,5,0.46875,-0.500013,104,0.220703,0.414062
3,6,0.375,-0.37501,219,0.164062,0.337891
3,7,0.421875,-0.37501,527,0.185547,0.378906
3,8,0.46875,-0.37501,446,0.205078,0.421875
3,9,0.515625,-0.37501,120,0.208984,0.470703
3,10,0.375,-0.250007,206,0.175781,0.332031
3,11,0.421875,-0.250007,511,0.185547,0.378906
3,12,0.46875,-0.250007,445,0.205078,0.421875
3,13,0.515625,-0.250007,122,0.226562,0.462891
3,14,0.421875,-0.125003,97,0.185547,0.378906
3,15,0.46875,-0.125003,89,0.205078,0.421875
4,1,0.375,0,130,0.128906,0.351562
4,2,0.421875,0,185,0.144531,0.396484
4,3,0.46875,0,96,0.162109,0.439453
4,4,0.328125,-0.875023,20,0.144531,0.294922
4,5,0.375,-0.875023,100,0.164062,0.337891
