FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
62,13,0.187500,-0.500013,514.000000,-0.005859,0.187500
62,14,0.234375,-0.500013,378.000000,-0.103516,0.210938
62,15,0.140625,-0.375010,370.000000,0.021484,0.138672
62,16,0.187500,-0.375010,491.000000,-0.035156,0.183594
62,17,0.234375,-0.375010,292.000000,-0.037109,0.232422
62,18,0.140625,-0.250007,358.000000,0.017578,0.138672
62,19,0.187500,-0.250007,462.000000,0.023438,0.185547
62,20,0.234375,-0.250007,217.000000,0.037109,0.232422
62,21,0.187500,-0.125003,220.000000,0.011719,0.187500
62,22,0.140625,-0.875023,156.000000,-0.101562,0.097656
62,23,0.187500,-0.875023,307.000000,-0.134766,0.130859
62,24,0.234375,-0.875023,240.000000,-0.167969,0.162109
62,25,0.281250,-0.875023,77.000000,-0.193359,0.205078
62,26,0.140625,-0.750020,367.000000,-0.097656,0.101562
62,27,0.187500,-0.750020,723.000000,-0.128906,0.136719
62,28,0.234375,-0.750020,554.000000,-0.162109,0.169922
62,29,0.281250,-0.750020,126.000000,-0.097656,0.263672
62,30,0.140625,-0.625017,297.000000,-0.003906,0.140625
62,31,0.187500,-0.625017,450.000000,-0.134766,0.130859
62,32,0.234375,-0.625017,311.000000,-0.095703,0.214844
62,33,0.140625,-0.500013,246.000000,-0.056641,0.128906
62,34,0.187500,-0.500013,461.000000,-0.076172,0.171875
62,35,0.234375,-0.500013,342.000000,-0.015625,0.234375
62,36,0.140625,-0.375010,361.000000,-0.027344,0.138672
62,37,0.187500,-0.375010,427.000000,0.029297,0.185547
62,38,0.140625,-0.250007,293.000000,-0.035156,0.136719
62,39,0.187500,-0.250007,389.000000,-0.041016,0.183594
62,40,0.234375,-0.250007,196.000000,-0.050781,0.228516
62,41,0.187500,-0.125003,168.000000,0.070312,0.173828
63,1,0.093750,0.000000,129.000000,0.005859,0.093750
63,2,0.140625,0.000000,409.000000,0.009766,0.140625
63,3,0.187500,0.000000,470.000000,0.011719,0.187500
63,4,0.234375,0.000000,226.000000,0.021484,0.232422
63,5,0.093750,0.125003,227.000000,0.039062,0.085938
63,6,0.140625,0.125003,733.000000,0.062500,0.126953
63,7,0.187500,0.125003,888.000000,0.082031,0.167969
63,8,0.234375,0.125003,467.000000,0.103516,0.210938
63,9,0.140625,0.250007,581.000000,0.052734,0.130859
63,10,0.187500,0.250007,767.000000,0.070312,0.173828
63,11,0.234375,0.250007,454.000000,0.087891,0.216797
63,12,0.140625,0.375010,588.000000,0.087891,0.109375
63,13,0.187500,0.375010,798.000000,0.117188,0.146484
63,14,0.234375,0.375010,412.000000,0.146484,0.183594
63,15,0.140625,0.500013,369.000000,0.083984,0.113281
63,16,0.187500,0.500013,532.000000,0.117188,0.146484
63,17,0.234375,0.500013,320.000000,0.146484,0.183594
