FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.609375,0.125003,50.000000,0.228516,0.564453
1,2,0.609375,-0.125003,48.000000,0.228516,0.564453
2,1,0.609375,0.125003,75.000000,0.228516,0.564453
2,2,0.609375,0.250007,25.000000,0.228516,0.564453
2,3,0.609375,-0.125003,70.000000,0.228516,0.564453
3,1,0.609375,0.125003,75.000000,0.228516,0.564453
3,2,0.609375,0.250007,25.000000,0.228516,0.564453
3,3,0.609375,-0.125003,70.000000,0.228516,0.564453
4,1,0.562500,0.125003,24.000000,0.193359,0.527344
4,2,0.609375,0.125003,135.000000,0.248047,0.556641
4,3,0.656250,0.125003,250.000000,0.267578,0.599609
4,4,0.609375,0.250007,45.000000,0.228516,0.564453
4,5,0.609375,-0.250007,35.000000,0.267578,0.548828
4,6,0.656250,-0.250007,67.000000,0.287109,0.589844
5,1,0.562500,0.125003,24.000000,0.193359,0.527344
5,2,0.609375,0.125003,135.000000,0.248047,0.556641
5,3,0.656250,0.125003,250.000000,0.267578,0.599609
5,4,0.609375,0.250007,45.000000,0.228516,0.564453
5,5,0.609375,-0.250007,35.000000,0.267578,0.548828
5,6,0.656250,-0.250007,67.000000,0.287109,0.589844
5,7,0.609375,-0.125003,116.000000,0.228516,0.564453
5,8,0.656250,-0.125003,215.000000,0.267578,0.599609
6,1,0.562500,0.125003,34.000000,0.210938,0.521484
6,2,0.609375,0.125003,184.000000,0.248047,0.556641
6,3,0.656250,0.125003,338.000000,0.267578,0.599609
6,4,0.609375,0.250007,62.000000,0.228516,0.564453
6,5,0.609375,-0.250007,47.000000,0.267578,0.548828
6,6,0.656250,-0.250007,86.000000,0.287109,0.589844
6,7,0.562500,-0.125003,28.000000,0.210938,0.521484
6,8,0.609375,-0.125003,152.000000,0.248047,0.556641
6,9,0.656250,-0.125003,278.000000,0.267578,0.599609
7,1,0.609375,0.000000,35.000000,0.248047,0.556641
7,2,0.656250,0.000000,65.000000,0.287109,0.589844
7,3,0.562500,0.125003,50.000000,0.210938,0.521484
7,4,0.609375,0.125003,264.000000,0.248047,0.556641
7,5,0.656250,0.125003,487.000000,0.267578,0.599609
7,6,0.609375,0.250007,90.000000,0.248047,0.556641
7,7,0.656250,0.250007,165.000000,0.267578,0.599609
8,1,0.609375,0.000000,35.000000,0.248047,0.556641
8,2,0.656250,0.000000,65.000000,0.287109,0.589844
8,3,0.562500,0.125003,50.000000,0.210938,0.521484
8,4,0.609375,0.125003,264.000000,0.248047,0.556641
8,5,0.656250,0.125003,487.000000,0.267578,0.599609
8,6,0.609375,0.250007,90.000000,0.248047,0.556641
8,7,0.656250,0.250007,165.000000,0.267578,0.599609
8,8,0.609375,-0.250007,61.000000,0.267578,0.548828
8,9,0.656250,-0.250007,114.000000,0.287109,0.589844
